flat,sequence,file,jd,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm,v_resid,dn_resid,v_corr_norm,correction_mode
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0044_flat_4s_masked_clipmean_cal.fits,2461181.6972972224,238700.5796508789,342213.2712402344,1497.8781821727753,159.35914047738336,228.46535540282088,8,True,ok,36.16250015795231,1.005085679331638,0.9918701118772234,0.00508567933163806,-0.008129888122776596,1.0071969759581991,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0045_flat_4s_masked_clipmean_cal.fits,2461181.6974885417,230150.82865142825,325051.7691192627,1464.5295765399933,157.15000389078403,221.9496105276411,8,True,ok,36.43799990415573,0.9911525497965068,0.9635823542567601,-0.008847450203493201,-0.03641764574323991,1.0006100541857232,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0047_flat_4s_masked_clipmean_cal.fits,2461181.6978716436,226069.34585762024,342003.95804977417,1439.238088130951,157.07571090701362,237.62847917255544,8,True,ok,36.98966659605503,0.9906839804139237,1.0316513232674875,-0.009316019586076307,0.03165132326748754,0.9824642692651782,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0048_flat_4s_masked_clipmean_cal.fits,2461181.6980633102,234243.3225440979,335032.08766937256,1475.4844074249268,158.75689459362604,227.06582731977744,8,True,ok,37.26566657423973,1.0012872858953556,0.9857941356144063,0.0012872858953556499,-0.01420586438559368,1.004976487161319,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0049_flat_4s_masked_clipmean_cal.fits,2461181.698254977,235472.5772705078,336318.67833709717,1486.4120590686798,158.416756533881,226.26207604089245,8,True,ok,37.54166655242443,0.9991420189729734,0.9823046924579002,-0.0008579810270266108,-0.017695307542099803,1.0037374134673858,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0050_flat_4s_masked_clipmean_cal.fits,2461181.698446412,204320.0649795532,291478.2178840637,1268.2931094169617,161.09845859958963,229.81928681931984,8,True,ok,37.81733326613903,1.0160556414636792,0.9977481326527984,0.016055641463679216,-0.0022518673472016193,1.0166404416308907,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0051_flat_4s_masked_clipmean_cal.fits,2461181.698638773,236142.27904510495,346738.1307144165,1500.2688283920288,157.3999769749263,231.11733320890664,8,True,ok,38.09433303773403,0.9927291419288257,1.0033835315752793,-0.007270858071174335,0.003383531575279264,0.9918504534779063,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0052_flat_4s_masked_clipmean_cal.fits,2461181.6988304397,228608.1979522705,331725.19303131104,1428.1993050575256,160.0674339657815,232.2681378268488,8,True,ok,38.37033301591873,1.009552920054826,1.0083796882272784,0.009552920054826108,0.008379688227278415,1.0073767514263403,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0053_flat_4s_masked_clipmean_cal.fits,2461181.6990222223,229395.7268295288,339813.9562988281,1475.553798675537,155.4641566003458,230.29587711667745,8,True,ok,38.64649996161461,0.9805198307439088,0.9998172239192892,-0.019480169256091195,-0.00018277608071082252,0.9805672968980297,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0058_flat_4s_masked_clipmean_cal.fits,2461181.6999804396,222750.60411071777,320291.30226135254,1399.334620475769,159.183229551616,228.88828559994792,8,True,ok,40.02633288502693,1.003976200755153,0.9937062406907191,0.0039762007551529255,-0.0062937593092808886,1.0056106627056003,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0060_flat_4s_masked_clipmean_cal.fits,2461181.7003641203,216398.30568695068,311459.9518356323,1376.880363702774,157.1656560668799,226.2069821360797,8,True,ok,40.57883307337761,0.9912512688156808,0.9820655052190558,-0.00874873118431918,-0.01793449478094422,0.9959087791969126,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0062_flat_4s_masked_clipmean_cal.fits,2461181.700747222,233288.34928894043,338742.54692459106,1498.7261781692505,155.6577530219101,226.0203043483084,8,True,ok,41.13049976527691,0.9817408525836429,0.9812550535953721,-0.018259147416357147,-0.01874494640462787,0.9866088337306752,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0063_flat_4s_masked_clipmean_cal.fits,2461181.70093831,232455.21562194824,344445.6950073242,1494.4054131507874,155.55030353633578,230.49012803098648,8,True,ok,41.40566624701023,0.9810631635670054,1.000660553866485,-0.018936836432994597,0.000660553866485003,0.9808916205975438,global_beta
