file,jd,minutes,set,target_flux_rate,bright_comp_ensemble_flux_rate,diff_flux,diff_flux_err,n_bright_comps,good,reject_reason
light_V_8s_2026_05_20-0051_flat_0p3_late_bias_cal.fits,2461181.6817636574,13.794166445732117,generic_V,217706.64297485352,17845.75484228134,12.199351885023578,0.03212633297939776,2,True,ok
light_V_8s_2026_05_20-0052_flat_0p3_late_bias_cal.fits,2461181.681955324,14.070166423916817,generic_V,205164.5902290344,17278.99148464203,11.87364380678059,0.034275275979226985,2,True,ok
light_V_8s_2026_05_20-0053_flat_0p3_late_bias_cal.fits,2461181.682147222,14.346499666571617,generic_V,216429.93557929993,17861.391887903214,12.117193158159138,0.03266143353303145,2,True,ok
light_V_8s_2026_05_20-0054_flat_0p3_late_bias_cal.fits,2461181.6823388888,14.622499644756317,generic_V,220528.567987442,18255.844039916992,12.07988891147674,0.030813744068731153,2,True,ok
light_V_8s_2026_05_20-0055_flat_0p3_late_bias_cal.fits,2461181.682530903,14.898999854922295,generic_V,177449.37664031982,14644.177703857422,12.117401210829195,0.049807965440911504,2,True,ok
light_V_8s_2026_05_20-0056_flat_0p3_late_bias_cal.fits,2461181.6827226854,15.175166800618172,generic_V,245853.3204345703,19938.904504776,12.330332409971703,0.024585132057317327,2,True,ok
light_V_8s_2026_05_20-0057_flat_0p3_late_bias_cal.fits,2461181.682914352,15.451166778802872,generic_V,197210.2832183838,15724.792948246,12.541359613919834,0.041577905410899764,2,True,ok
light_V_8s_2026_05_20-0058_flat_0p3_late_bias_cal.fits,2461181.68310625,15.727500021457672,generic_V,193859.68438339233,15780.129420280457,12.285050345293486,0.043386963764997316,2,True,ok
light_V_8s_2026_05_20-0059_flat_0p3_late_bias_cal.fits,2461181.683298148,16.003833264112473,generic_V,232460.90953826904,19005.599529266357,12.231180036194436,0.02787628178162025,2,True,ok
light_V_8s_2026_05_20-0060_flat_0p3_late_bias_cal.fits,2461181.683489236,16.278999745845795,generic_V,201666.83404541016,16183.300918579102,12.461415323117935,0.04103754414144095,2,True,ok
light_V_8s_2026_05_20-0061_flat_0p3_late_bias_cal.fits,2461181.683680787,16.55483342707157,generic_V,210210.9133338928,17038.398324012756,12.33748086741439,0.03492374429333463,2,True,ok
light_V_8s_2026_05_20-0062_flat_0p3_late_bias_cal.fits,2461181.683872454,16.83083340525627,generic_V,218861.63068008423,17753.168971061707,12.328031746717244,0.03238321658050591,2,True,ok
light_V_8s_2026_05_20-0063_flat_0p3_late_bias_cal.fits,2461181.6840641205,17.10683338344097,generic_V,192489.86711883545,15650.941173553467,12.298932376290544,0.04685274472890358,2,True,ok
