file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,frame_artifact,good,reject_reason,minutes,diff_flux_norm
light_AMCVn_V_40s_2026_05_20-0019_flat_4s_masked_clipmean_cal.fits,2461181.7562893517,40.0,0.996818581896968,0.008991542489812028,442.4876087188721,0.9799502986796764,6,True,False,True,ok,41.0093329846859,0.9912601260998849
light_AMCVn_V_40s_2026_05_20-0020_flat_4s_masked_clipmean_cal.fits,2461181.7568516205,40.0,1.0064311661062253,0.009393640373288515,421.80637435913087,0.925226627146762,6,True,False,True,ok,41.81900002062321,1.0008191086554479
light_AMCVn_V_40s_2026_05_20-0021_flat_4s_masked_clipmean_cal.fits,2461181.7574131945,40.0,1.0175743998821536,0.008864286797241386,465.72886962890624,1.0103830426054392,6,True,False,True,ok,42.62766659259796,1.0119002055756785
light_AMCVn_V_40s_2026_05_20-0022_flat_4s_masked_clipmean_cal.fits,2461181.757975,40.0,0.9834118361310076,0.009016232658219797,439.0831748962402,0.9856674754678316,6,True,False,True,ok,43.436666429042816,0.977928138976145
light_AMCVn_V_40s_2026_05_20-0023_flat_4s_masked_clipmean_cal.fits,2461181.7585376156,40.0,1.0214856332834006,0.008950782088465841,473.20891189575195,1.022679884238759,6,True,False,True,ok,44.24683302640915,1.015789629172847
light_AMCVn_V_40s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,2461181.7590993056,40.0,1.0109404669113051,0.008735395683022246,469.01825828552245,1.0241963640593732,6,True,False,True,ok,45.05566656589508,1.0053032647153795
light_AMCVn_V_40s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,2461181.7596614584,40.0,0.9880904082060981,0.008705796573815825,461.19687538146974,1.0304068431132056,6,True,False,True,ok,45.86516663432121,0.9825806224163072
light_AMCVn_V_40s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,2461181.7602230324,40.0,0.9911268200319236,0.017260147796169065,461.7225143432617,1.028420878805143,6,True,False,True,ok,46.67383320629597,0.9856001026146308
light_AMCVn_V_40s_2026_05_20-0027_flat_4s_masked_clipmean_cal.fits,2461181.7607847224,40.0,1.0243185377659245,0.008915717384897265,468.9540824890137,1.0106815783032828,6,True,False,True,ok,47.4826667457819,1.0186067368247045
light_AMCVn_V_40s_2026_05_20-0028_flat_4s_masked_clipmean_cal.fits,2461181.7613462964,40.0,1.0113050139521893,0.008746542476617243,474.39560775756837,1.035565468921327,6,True,False,True,ok,48.29133331775665,1.0056657789705095
light_AMCVn_V_40s_2026_05_20-0029_flat_4s_masked_clipmean_cal.fits,2461181.7619086807,40.0,1.0180229730581907,0.008952445401087797,468.05290908813475,1.0149775392550435,6,True,False,True,ok,49.101166650652885,1.012346277419762
