file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,n_sources,good,reject_reason
light_V0399_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.695186111,8.819333240389824,142.65819756833903,2032.5195816693995,205907.8310699463,1443.3648719787598,11,27,True,ok
light_V0399_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.695378125,9.095833450555801,143.17084207196845,2053.4153040932874,241943.83304786682,1689.8959980010986,11,30,True,ok
light_V0399_V_8s_2026_05_20-0035_flat_0p3_late_bias_cal.fits,2461181.695569792,9.371833428740501,145.67821803595237,2151.484563611013,239898.8376083374,1646.7721862792969,11,29,True,ok
light_V0399_V_8s_2026_05_20-0036_flat_0p3_late_bias_cal.fits,2461181.695762153,9.648833200335503,145.8839813990009,2192.2175967613557,250873.67641448975,1719.679391860962,11,28,True,ok
light_V0399_V_8s_2026_05_20-0037_flat_0p3_late_bias_cal.fits,2461181.6959542823,9.925499707460403,147.36756456548744,2099.4240524951633,182873.85451507568,1240.936939239502,11,22,True,ok
light_V0399_V_8s_2026_05_20-0038_flat_0p3_late_bias_cal.fits,2461181.6961469906,10.202999711036682,147.11804947259728,2148.6194793665386,239068.60704612732,1625.0120763778687,11,25,True,ok
light_V0399_V_8s_2026_05_20-0039_flat_0p3_late_bias_cal.fits,2461181.696338542,10.478833392262459,146.74855327740264,2176.193154121337,238322.09629440308,1624.0166664123535,11,27,True,ok
light_V0399_V_8s_2026_05_20-0040_flat_0p3_late_bias_cal.fits,2461181.6965310187,10.756000131368637,146.04421160991146,2111.8087607234447,267027.10497283936,1828.3990993499756,11,28,True,ok
light_V0399_V_8s_2026_05_20-0041_flat_0p3_late_bias_cal.fits,2461181.696722801,11.03216640651226,147.29793176355352,2119.357158698365,253016.73992919922,1717.7209272384644,11,28,True,ok
light_V0399_V_8s_2026_05_20-0042_flat_0p3_late_bias_cal.fits,2461181.696914352,11.308000087738037,146.80647340973096,2106.8613962136483,222051.34427261353,1512.544638633728,11,27,True,ok
light_V0399_V_8s_2026_05_20-0043_flat_0p3_late_bias_cal.fits,2461181.697106134,11.58416636288166,143.7071957784781,2104.6898589550283,244107.74700927734,1698.6466522216797,11,28,True,ok
light_V0399_V_8s_2026_05_20-0044_flat_0p3_late_bias_cal.fits,2461181.6972972224,11.859333515167236,145.7219533448248,2075.371948164658,238742.98565673828,1638.3460431098938,11,28,True,ok
light_V0399_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.6974885417,12.134833261370659,148.0319630980983,2148.263030410728,230200.0648803711,1555.0700001716614,11,27,True,ok
light_V0399_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.697679977,12.410499975085258,147.85871534018884,2121.5737237070125,234916.31085586548,1588.7890701293945,11,27,True,ok
light_V0399_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6978716436,12.686499953269958,143.5097941476736,2133.5985077999912,226104.6503982544,1575.5346298217773,11,27,True,ok
light_V0399_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6980633102,12.962499931454659,142.67582378365438,2065.9267230277287,234272.60078811646,1641.9922771453857,11,29,True,ok
light_V0399_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.698254977,13.238499909639359,145.96857373573027,2051.3169837316223,235494.7014465332,1613.3246726989746,11,29,True,ok
light_V0399_V_8s_2026_05_20-0050_flat_0p3_late_bias_cal.fits,2461181.698446412,13.514166623353958,145.7033259624976,2100.375107267773,204334.7206993103,1402.4025831222534,11,25,True,ok
light_V0399_V_8s_2026_05_20-0051_flat_0p3_late_bias_cal.fits,2461181.698638773,13.79116639494896,149.6556610985967,2275.2179838310203,236134.6334991455,1577.8529977798462,11,29,True,ok
light_V0399_V_8s_2026_05_20-0052_flat_0p3_late_bias_cal.fits,2461181.6988304397,14.06716637313366,141.54566536554807,1962.3376133075735,228602.5525817871,1615.044529914856,11,28,True,ok
