file,jd,minutes,object_id,role,x,y,pred_x,pred_y,match_dist,flux,flux_err,flux_rate,flux_rate_err,flag,n_sources
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,HD_103405,comparison,1195.451210137809,168.55486085134623,1194.0933535518357,166.84755909882313,2.1814338821609685,126920.3854560852,453.4408576560963,15865.04818201065,56.680107207012036,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,TYC_3452_787_1,comparison,402.42811512079777,772.8908965489464,398.73294586154066,771.7245070071447,3.8748858586780752,165403.9949951172,556.5352078661,20675.49937438965,69.5669009832625,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,HD_103187,comparison,106.26106627572764,1532.2459080348333,101.05861086240225,1532.6452356296525,5.217758604575606,617905.2908325195,1716.5781274447124,77238.16135406494,214.57226593058905,ok,31
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,target,target,1967.9766763189768,649.8790093546567,1967.9766763189768,649.8790093546567,0.0,2087706.2879333496,3382.0060824568604,260963.2859916687,422.75076030710756,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,DN_UMa,check,1893.291557223867,704.4793555896487,1893.291557223867,704.4793555896487,0.0,3055475.3100585938,6076.028441923185,381934.4137573242,759.5035552403981,saturated,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,gaia_774272862760870784_src1,comparison,638.8225637777945,275.9419019769843,636.515228880274,274.6097888614887,2.664267194143871,31587.72682952881,188.57044992333567,3948.465853691101,23.57130624041696,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,gaia_774271076054448768_src2,comparison,1545.6992165295924,338.80139359876557,1545.1912720248388,338.10833816724477,0.8592633188201761,21769.870918273926,156.73963449403075,2721.2338647842407,19.592454311753844,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,gaia_774384016513181696_src3,comparison,430.1101101503718,1273.0067799154563,427.01626689098316,1272.701928643723,3.108826211215702,14074.585884094238,137.3518283805361,1759.3232355117798,17.16897854756701,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,gaia_774289041901756032_src4,comparison,2081.281998053974,1459.9595793065575,2080.5749822608777,1461.1501131863247,1.3846451713564758,13258.497211456299,123.66288361078372,1657.3121514320374,15.457860451347965,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,gaia_774287774887292672_src5,comparison,2073.2250053374414,1098.2555809242685,2073.047103983973,1098.9145976709117,0.6826067417788778,13190.061180114746,122.48090538842555,1648.7576475143433,15.310113173553194,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,gaia_774289488578357504_src6,comparison,979.8562006804665,1118.2906309997525,978.0239739877086,1118.5123180984863,1.845589288926321,11310.288070678711,114.86617330411231,1413.7860088348389,14.358271663014039,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,gaia_774288805679445888_src7,comparison,1984.3920181375206,1369.2112544896713,1983.6363820048823,1370.366516311724,1.3804404523342597,10366.49282836914,110.42807367148536,1295.8116035461426,13.80350920893567,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,gaia_774290626745586944_src8,comparison,1109.8487930123438,1451.2022719525623,1108.9951761746142,1452.6122614131295,1.6482511897662808,3510.2659454345703,71.89760048789475,438.7832431793213,8.987200060986844,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,HD_103405,comparison,1195.7486301722365,168.9493609870163,1194.631210055171,167.60726762978413,1.7463797689933271,145583.99884796143,438.6105709614943,18197.99985599518,54.82632137018679,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,TYC_3452_787_1,comparison,402.7197851829216,773.3807666585036,399.8365915864647,772.3678955541271,3.055930821980596,191152.7381591797,521.3786706335122,23894.09226989746,65.17233382918903,ok,34
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,HD_103187,comparison,106.77914806751966,1532.657716485688,102.50769761473157,1532.9665099454014,4.282597619597865,725633.6479492188,1423.9635065729415,90704.20599365234,177.99543832161768,ok,34
light_V0399_V_8s_2026_05_20-0094_flat_0p3_late_bias_cal.fits,2461181.706882639,25.662333145737648,target,target,1968.5380456081512,648.4555114641776,1968.5380456081512,648.4555114641776,0.0,1765953.5658416748,4533.388792693481,220744.19573020935,566.6735990866852,ok,31
light_V0399_V_8s_2026_05_20-0094_flat_0p3_late_bias_cal.fits,2461181.706882639,25.662333145737648,DN_UMa,check,1893.7880588244636,703.020747337246,1893.7880588244636,703.020747337246,0.0,2537170.0259399414,8076.440323175364,317146.2532424927,1009.5550403969205,ok,31
light_V0399_V_8s_2026_05_20-0094_flat_0p3_late_bias_cal.fits,2461181.706882639,25.662333145737648,gaia_774272862760870784_src1,comparison,639.4242612164692,274.55131822412363,636.8914334189194,272.09904627343445,3.5254580372169717,26793.78126525879,180.8438450151098,3349.2226581573486,22.605480626888724,ok,31
light_V0399_V_8s_2026_05_20-0094_flat_0p3_late_bias_cal.fits,2461181.706882639,25.662333145737648,gaia_774271076054448768_src2,comparison,1546.1911896983693,337.3601674845113,1545.832557579321,336.27372041803943,1.144108484829282,18362.56932067871,148.64571960543643,2295.321165084839,18.580714950679553,ok,31
light_V0399_V_8s_2026_05_20-0094_flat_0p3_late_bias_cal.fits,2461181.706882639,25.662333145737648,gaia_774384016513181696_src3,comparison,430.68127903882805,1271.6646659601356,426.6020122169948,1270.3817059235494,4.276260546223402,12191.07335281372,131.04691228661068,1523.884169101715,16.380864035826335,ok,31
light_V0399_V_8s_2026_05_20-0094_flat_0p3_late_bias_cal.fits,2461181.706882639,25.662333145737648,gaia_774289041901756032_src4,comparison,2081.9336149744804,1458.513553530412,2080.59060888084,1460.0851995790233,2.067301784856334,11293.657287597656,117.82345147602693,1411.707160949707,14.727931434503367,ok,31
