raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V0399_V_8s_2026_05_20-0088.fit,light_V0399_V_8s_2026_05_20-0088_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7057315973,65535.0,64784.66531807462
light_V0399_V_8s_2026_05_20-0089.fit,light_V0399_V_8s_2026_05_20-0089_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.705923148,57440.0,56384.2470775268
light_V0399_V_8s_2026_05_20-0090.fit,light_V0399_V_8s_2026_05_20-0090_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7061149306,64490.0,63743.63974209068
light_V0399_V_8s_2026_05_20-0091.fit,light_V0399_V_8s_2026_05_20-0091_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.706306713,65535.0,64741.061203700025
light_V0399_V_8s_2026_05_20-0092.fit,light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.706498958,55051.0,54113.71602069062
light_V0399_V_8s_2026_05_20-0093.fit,light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7066908563,65535.0,64902.92694409372
light_V0399_V_8s_2026_05_20-0094.fit,light_V0399_V_8s_2026_05_20-0094_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.706882639,53167.0,52326.26377249935
light_V0399_V_8s_2026_05_20-0095.fit,light_V0399_V_8s_2026_05_20-0095_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7070737267,65535.0,64781.45658271034
light_V0399_V_8s_2026_05_20-0096.fit,light_V0399_V_8s_2026_05_20-0096_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7072653933,65535.0,64882.22241642644
light_V0399_V_8s_2026_05_20-0097.fit,light_V0399_V_8s_2026_05_20-0097_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.707456597,65535.0,64830.34297728548
light_V0399_V_8s_2026_05_20-0098.fit,light_V0399_V_8s_2026_05_20-0098_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7076488426,59466.0,58569.26405384677
light_V0399_V_8s_2026_05_20-0099.fit,light_V0399_V_8s_2026_05_20-0099_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.707839815,65535.0,65343.92981128062
light_V0399_V_8s_2026_05_20-0100.fit,light_V0399_V_8s_2026_05_20-0100_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7080314816,54239.0,53993.922412756394
light_V0399_V_8s_2026_05_20-0101.fit,light_V0399_V_8s_2026_05_20-0101_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7082226854,65535.0,65343.92981128062
light_V0399_V_8s_2026_05_20-0102.fit,light_V0399_V_8s_2026_05_20-0102_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7084144675,55745.0,55136.225671525724
light_V0399_V_8s_2026_05_20-0103.fit,light_V0399_V_8s_2026_05_20-0103_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7086069444,64709.0,63950.46956006335
light_V0399_V_8s_2026_05_20-0104.fit,light_V0399_V_8s_2026_05_20-0104_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.708799537,50165.0,49464.578157543976
light_V0399_V_8s_2026_05_20-0105.fit,light_V0399_V_8s_2026_05_20-0105_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7089913194,52925.0,52200.04949695012
light_V0399_V_8s_2026_05_20-0106.fit,light_V0399_V_8s_2026_05_20-0106_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.709182986,65535.0,64794.31454508084
light_V0399_V_8s_2026_05_20-0107.fit,light_V0399_V_8s_2026_05_20-0107_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7093744213,65535.0,64884.7663892497
light_V0399_V_8s_2026_05_20-0108.fit,light_V0399_V_8s_2026_05_20-0108_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7095659724,65535.0,65179.055614699995
light_V0399_V_8s_2026_05_20-0109.fit,light_V0399_V_8s_2026_05_20-0109_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7097577546,65535.0,64716.01802310817
light_V_8s_2026_05_20-0001.fit,light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.672184375,42070.0,41161.47403498596
light_V_8s_2026_05_20-0002.fit,light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.672376852,38089.0,37605.725289646965
light_V_8s_2026_05_20-0003.fit,light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.6725682872,48598.0,47721.380280104146
