raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V_8s_2026_05_20-0055.fit,light_V_8s_2026_05_20-0055_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.682530903,39343.0,38668.768659184796
light_V_8s_2026_05_20-0056.fit,light_V_8s_2026_05_20-0056_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6827226854,62299.0,61353.00025256895
light_V_8s_2026_05_20-0057.fit,light_V_8s_2026_05_20-0057_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.682914352,45843.0,44934.502924037406
light_V_8s_2026_05_20-0058.fit,light_V_8s_2026_05_20-0058_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.68310625,46862.0,46089.958106683494
light_V_8s_2026_05_20-0059.fit,light_V_8s_2026_05_20-0059_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.683298148,58459.0,57678.947716602546
light_V_8s_2026_05_20-0060.fit,light_V_8s_2026_05_20-0060_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.683489236,44159.0,43402.64481773495
light_V_8s_2026_05_20-0061.fit,light_V_8s_2026_05_20-0061_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.683680787,51033.0,49988.89105791691
light_V_8s_2026_05_20-0062.fit,light_V_8s_2026_05_20-0062_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.683872454,55546.0,54823.564926761566
light_V_8s_2026_05_20-0063.fit,light_V_8s_2026_05_20-0063_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6840641205,43746.0,42990.671689476665
light_V_8s_2026_05_20-0064.fit,light_V_8s_2026_05_20-0064_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.684255671,51584.0,50675.44181606517
