file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason
light_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.677550463,7.727166563272476,51966.357515853466,35350.8757570095,224322.55504989624,4.316688060760498,4,True,ok
light_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.677741667,8.002500012516975,51388.04908068457,178.16891509223265,193333.1411743164,3.7622199058532715,2,True,ok
light_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6779328706,8.277833461761475,228555.86576216324,38109.721773191006,207404.0467529297,0.9074544906616211,5,True,ok
light_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6781244213,8.553666472434998,45727.123403385674,42554.78419627114,153637.23175048828,3.3598709106445312,3,True,ok
light_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.678316204,8.829833418130875,52237.93548633246,31961.501687980093,216752.25330352783,4.14932656288147,4,True,ok
light_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.6785078705,9.105833396315575,70572.68384110356,46157.98729014002,197608.60961914062,2.800072193145752,3,True,ok
light_V_8s_2026_05_20-0035_flat_0p3_late_bias_cal.fits,2461181.678699537,9.381833374500275,102152.00725392057,62181.561750123925,216168.37565612793,2.1161441802978516,5,True,ok
light_V_8s_2026_05_20-0036_flat_0p3_late_bias_cal.fits,2461181.6788909724,9.657500088214874,76742.4832458357,105879.24315579863,213440.94636917114,2.781261920928955,5,True,ok
light_V_8s_2026_05_20-0037_flat_0p3_late_bias_cal.fits,2461181.67908206,9.932666569948196,36594.21725849438,22626.56163389492,216479.81624603271,5.915683746337891,7,True,ok
light_V_8s_2026_05_20-0038_flat_0p3_late_bias_cal.fits,2461181.6792738424,10.20883284509182,31230.22260279101,132.45901200816212,178990.2028274536,5.731313705444336,2,True,ok
light_V_8s_2026_05_20-0039_flat_0p3_late_bias_cal.fits,2461181.6794653935,10.484666526317596,53136.03959669438,7349.495361803834,227040.60580444336,4.272817611694336,3,True,ok
light_V_8s_2026_05_20-0040_flat_0p3_late_bias_cal.fits,2461181.679657176,10.760833472013474,25387.34206152389,1272.387218693577,213038.4981994629,8.391524314880371,5,True,ok
light_V_8s_2026_05_20-0041_flat_0p3_late_bias_cal.fits,2461181.679848843,11.036833450198174,18499.906723349693,8529.500053669455,198913.84814453125,10.752154111862183,4,True,ok
light_V_8s_2026_05_20-0042_flat_0p3_late_bias_cal.fits,2461181.6800405094,11.312833428382874,37933.93247812233,7067.653814143427,196983.48907470703,5.192804336547852,5,True,ok
light_V_8s_2026_05_20-0043_flat_0p3_late_bias_cal.fits,2461181.6802317128,11.588166207075119,31061.013717777387,7081.910357669308,192641.7296447754,6.202042579650879,4,True,ok
light_V_8s_2026_05_20-0044_flat_0p3_late_bias_cal.fits,2461181.6804236113,11.864500120282173,36866.08048751202,86.51034850516199,228688.0346069336,6.20320987701416,2,True,ok
light_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.680614699,12.139666602015495,53198.48585342209,20451.92317163816,160770.29280090332,3.0220839977264404,4,True,ok
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,12.414666786789894,23243.8833362634,65.24181584464208,210633.095703125,9.061872005462646,2,True,ok
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,12.690833061933517,35764.69992793051,39388.23908119886,215950.2293701172,6.038083076477051,3,True,ok
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,12.966833040118217,45418.606130357264,15269.77540229753,143570.20705413818,3.161043882369995,4,True,ok
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,13.242333456873894,29546.96996796503,13774.707225555649,215837.9758834839,7.304910659790039,5,True,ok
light_V_8s_2026_05_20-0050_flat_0p3_late_bias_cal.fits,2461181.6815721067,13.518333435058594,39671.73548603999,33322.40957756137,233171.63018798828,5.877525329589844,4,True,ok
light_V_8s_2026_05_20-0051_flat_0p3_late_bias_cal.fits,2461181.6817636574,13.794166445732117,40578.034876759586,12387.11418410242,217706.64297485352,5.365135192871094,6,True,ok
light_V_8s_2026_05_20-0052_flat_0p3_late_bias_cal.fits,2461181.681955324,14.070166423916817,35777.735577856954,34235.58673105028,205164.59022903442,5.7344207763671875,5,True,ok
light_V_8s_2026_05_20-0053_flat_0p3_late_bias_cal.fits,2461181.682147222,14.346499666571617,116834.50956680236,91130.6985395909,216429.93557929993,1.8524487018585205,4,True,ok
light_V_8s_2026_05_20-0054_flat_0p3_late_bias_cal.fits,2461181.6823388888,14.622499644756317,68220.20001793708,37345.90424411203,220528.56798744202,3.2325992584228516,5,True,ok
light_V_8s_2026_05_20-0055_flat_0p3_late_bias_cal.fits,2461181.682530903,14.898999854922295,19569.082535374535,1660.5537771432473,177449.37664031982,9.067843437194824,3,True,ok
light_V_8s_2026_05_20-0056_flat_0p3_late_bias_cal.fits,2461181.6827226854,15.175166800618172,82912.72454911869,26306.46515811682,245853.3204345703,2.9652061462402344,5,True,ok
light_V_8s_2026_05_20-0057_flat_0p3_late_bias_cal.fits,2461181.682914352,15.451166778802872,38410.0370844792,36951.10892857605,197210.2832183838,5.134342432022095,6,True,ok
light_V_8s_2026_05_20-0058_flat_0p3_late_bias_cal.fits,2461181.68310625,15.727500021457672,31764.039302764464,18210.054815048188,193863.29816436768,6.103231906890869,6,True,ok
light_V_8s_2026_05_20-0059_flat_0p3_late_bias_cal.fits,2461181.683298148,16.003833264112473,275068.751611954,626.9136752596687,232460.90953826904,0.8451011180877686,2,True,ok
light_V_8s_2026_05_20-0060_flat_0p3_late_bias_cal.fits,2461181.683489236,16.278999745845795,60165.4090444289,63828.26952653062,201666.83404541016,3.3518733978271484,5,True,ok
light_V_8s_2026_05_20-0061_flat_0p3_late_bias_cal.fits,2461181.683680787,16.55483342707157,23349.191004705226,12438.763955695453,210210.91333389282,9.002920627593994,4,True,ok
light_V_8s_2026_05_20-0062_flat_0p3_late_bias_cal.fits,2461181.683872454,16.83083340525627,31948.221606811705,11089.076014832532,218861.63068008423,6.850510597229004,4,True,ok
light_V_8s_2026_05_20-0063_flat_0p3_late_bias_cal.fits,2461181.6840641205,17.10683338344097,30797.532859510084,15650.86231888809,192489.86711883545,6.250171661376953,5,True,ok
light_V_8s_2026_05_20-0064_flat_0p3_late_bias_cal.fits,2461181.684255671,17.382666394114494,95637.28317479382,2373.273491996247,217331.67095947266,2.2724575996398926,3,True,ok
light_V_8s_2026_05_20-0065_flat_0p3_late_bias_cal.fits,2461181.684446991,17.65816681087017,38458.53137520582,21850.57638055643,211296.21283721924,5.494131088256836,3,True,ok
light_V_8s_2026_05_20-0066_flat_0p3_late_bias_cal.fits,2461181.684639352,17.935166582465172,48214.26750970651,22470.01919038471,184285.02447509766,3.822209358215332,5,True,ok
light_V_8s_2026_05_20-0067_flat_0p3_late_bias_cal.fits,2461181.6848310186,18.211166560649872,98702.71910589814,133680.72133367346,227276.5429058075,2.3026371002197266,5,True,ok
light_V_8s_2026_05_20-0068_flat_0p3_late_bias_cal.fits,2461181.6850228007,18.487332835793495,44902.95885910308,39323.36820327604,226374.03174209595,5.04140567779541,5,True,ok
light_V_8s_2026_05_20-0069_flat_0p3_late_bias_cal.fits,2461181.685213773,18.762333020567894,81389.37492480446,30915.081138405058,224703.19215011597,2.7608418464660645,4,True,ok
light_V_8s_2026_05_20-0070_flat_0p3_late_bias_cal.fits,2461181.685405671,19.038666263222694,112782.78215718224,139430.1127254019,205259.9503326416,1.819958209991455,3,True,ok
light_V_8s_2026_05_20-0071_flat_0p3_late_bias_cal.fits,2461181.6855980325,19.31566670536995,43040.8918324641,96.62801613578948,234139.21131896973,5.439924716949463,2,True,ok
light_V_8s_2026_05_20-0072_flat_0p3_late_bias_cal.fits,2461181.6857905095,19.592833444476128,40041.200580602264,3670.0354058035323,221500.51607322693,5.531815052032471,3,True,ok
light_V_8s_2026_05_20-0073_flat_0p3_late_bias_cal.fits,2461181.68598206,19.86866645514965,69238.46890522285,69733.51878854081,194727.66370391846,2.812420129776001,4,True,ok
light_V_8s_2026_05_20-0074_flat_0p3_late_bias_cal.fits,2461181.686173727,20.14466643333435,69706.75617199048,54231.773301396264,233022.48516845703,3.3428966999053955,4,True,ok
light_V_8s_2026_05_20-0075_flat_0p3_late_bias_cal.fits,2461181.686365625,20.42099967598915,64296.56521821012,90253.00651576369,226286.44305419922,3.5194172859191895,3,True,ok
light_V_8s_2026_05_20-0076_flat_0p3_late_bias_cal.fits,2461181.686557176,20.696833357214928,28925.91191461858,9874.011648643682,180922.75484848022,6.254694938659668,3,True,ok
light_V_8s_2026_05_20-0077_flat_0p3_late_bias_cal.fits,2461181.6867488427,20.972833335399628,154047.99327936184,135791.04241913647,228740.64950561523,1.4848661422729492,5,True,ok
light_V_8s_2026_05_20-0078_flat_0p3_late_bias_cal.fits,2461181.6869399305,21.24799981713295,52186.04908367422,27250.927142811735,246467.4213256836,4.722860336303711,3,True,ok
light_V_8s_2026_05_20-0079_flat_0p3_late_bias_cal.fits,2461181.6871314817,21.523833498358727,,,216928.78143310547,,1,False,too_few_comps
light_V_8s_2026_05_20-0080_flat_0p3_late_bias_cal.fits,2461181.687323264,21.79999977350235,23075.70962416372,4708.781161786437,233840.31356048584,10.133613109588623,3,True,ok
light_V_8s_2026_05_20-0081_flat_0p3_late_bias_cal.fits,2461181.6875149305,22.07599975168705,141499.74373990129,55492.22384675037,214302.12406158447,1.514505386352539,3,True,ok
