file,jd,object_id,role,x,y,flux,flux_err,flux_rate,flux_rate_err,flag,dx,dy
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,gaia_774290626745586944_src8,comparison,909.9722017921815,1310.1096944768449,-10.072708129882812,42.247699853711225,-1.2590885162353516,5.280962481713903,nonpositive_flux,19.975842122236145,-86.48441351051503
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,target_V0399_direct,target,1864.389319460398,622.9045335283035,1726703.807067871,4664.368705919787,215837.9758834839,583.0460882399734,ok,21.44998743871861,-86.97636455423037
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,DN_UMa_direct,check,1789.6179725902318,677.3133578241354,2537917.3212890625,8108.27109073206,317239.6651611328,1013.5338863415075,ok,21.44998743871861,-86.97636455423037
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,gaia_774287774887292672_src5,comparison,1913.093616265025,1086.2583754777506,40.063621520996094,41.99352861668832,5.007952690124512,5.24919107708604,ok,21.44998743871861,-86.97636455423037
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,gaia_774288805679445888_src7,comparison,1789.4452375710146,1343.0731261276505,92.95105743408203,43.82296736154431,11.618882179260254,5.4778709201930385,ok,21.44998743871861,-86.97636455423037
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,gaia_774289041901756032_src4,comparison,1873.5944614135767,1445.6764443377588,58.43928527832031,43.84619792312267,7.304910659790039,5.480774740390334,ok,21.44998743871861,-86.97636455423037
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,gaia_774271076054448768_src2,comparison,1489.9581567191601,264.163449208842,-30.50201416015625,41.99396402059671,-3.8127517700195312,5.249245502574588,nonpositive_flux,21.44998743871861,-86.97636455423037
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,gaia_774272862760870784_src1,comparison,599.2112876372315,82.58751207309373,7.905937194824219,43.2552314478901,0.9882421493530273,5.406903930986262,ok,21.44998743871861,-86.97636455423037
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,gaia_774384016513181696_src3,comparison,260.8305970635964,1043.571432797186,-0.9625015258789062,43.25575465769545,-0.12031269073486328,5.406969332211931,nonpositive_flux,21.44998743871861,-86.97636455423037
light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,gaia_774289488578357504_src6,comparison,826.5228278000528,962.5465994559305,-91.46715545654297,43.76497345619281,-11.433394432067871,5.470621682024102,nonpositive_flux,21.44998743871861,-86.97636455423037
