flat,file,jd,object_id,role,flux_rate,flag,x,y,match_dist
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,HD_103405,comparison,13669.885196685791,ok,1149.120572310798,153.30251886004322,2.3729712195225328
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,TYC_3452_787_1,comparison,18168.994603157043,ok,355.69997043347047,757.1971193034351,4.067298866350046
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,HD_103187,comparison,68271.6026763916,ok,59.06614611521752,1516.4008901164357,5.315189715272795
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,target,target,216074.8966140747,ok,1921.6609189726576,634.0633000606322,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,DN_UMa,check,317490.6899795532,ok,1846.938140022674,688.5743919752728,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,gaia_774272862760870784_src1,comparison,3372.716133117676,ok,592.7504332954563,259.33801019360203,2.587013742684393
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,gaia_774271076054448768_src2,comparison,2271.992217063904,ok,1499.522391572979,322.78647379008856,0.8795252726012516
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,gaia_774384016513181696_src3,comparison,1474.1129698753357,ok,383.4571904837421,1256.1276458583177,3.1697855225258253
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,gaia_774289041901756032_src4,comparison,1400.6667079925537,ok,2034.4641514877012,1444.1398054469362,1.5368922665252247
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,gaia_774287774887292672_src5,comparison,1371.5216827392578,ok,2026.595606879743,1082.5745754366767,0.6279587395651529
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,gaia_774289488578357504_src6,comparison,1173.4793033599854,ok,933.2724628790827,1101.7885734933816,1.8160775725415486
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,gaia_774288805679445888_src7,comparison,1104.3220677375793,ok,1937.6182367385024,1353.3608881120422,1.46230933142896
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,gaia_774290626745586944_src8,comparison,380.12001514434814,ok,1063.0622525368697,1434.5825417148872,1.5165980495308182
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,HD_103405,comparison,15244.679141998291,ok,1149.7874033515118,152.6902714239636,1.7601032562911867
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,TYC_3452_787_1,comparison,20416.014852523804,ok,356.36062341268376,756.6536954231104,3.1116649136776475
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,HD_103187,comparison,76178.69528198242,ok,59.783223793631095,1515.7500537640046,4.104456567866125
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,target,target,215558.9920463562,ok,1923.3300393374413,634.0935960854564,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,DN_UMa,check,315126.3353500366,ok,1848.593806220504,688.5754654050925,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,gaia_774272862760870784_src1,comparison,3363.503450870514,ok,594.3964518655885,259.35304325107023,2.7419353994628146
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,gaia_774271076054448768_src2,comparison,2212.9689178466797,ok,1501.079938203671,322.7657958014346,0.9214376456497197
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,gaia_774384016513181696_src3,comparison,1481.3709182739258,ok,385.0430858086057,1256.3430648373217,3.493062692626498
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,gaia_774289041901756032_src4,comparison,1392.1023616790771,ok,2036.2424018618026,1444.0675112947627,1.883183640924609
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,gaia_774287774887292672_src5,comparison,1389.1815752983093,ok,2028.3508792901655,1082.4072758265036,0.9375401230895972
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,gaia_774289488578357504_src6,comparison,1161.2566475868225,ok,934.9376083621082,1102.0059571074546,2.041823986794401
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,gaia_774288805679445888_src7,comparison,1068.8565740585327,ok,1939.5127415211768,1353.327474695383,1.838224810268658
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,gaia_774290626745586944_src8,comparison,369.8907461166382,ok,1064.9849212913703,1434.6728336442704,1.6372804372104144
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,HD_103405,comparison,15176.390390396118,ok,1151.2538423221029,152.78268099907024,1.9002287321287101
