file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,n_sources,good,reject_reason,sequence,minutes_combined,diff_flux_norm
light_V0399_V_8s_2026_05_20-0037_flat_0p3_late_bias_cal.fits,2461181.6959542823,9.925499707460403,147.36756456548744,2099.4240524951633,182873.85451507568,1240.936939239502,11,22,True,ok,V0399 named,34.228666350245476,1.0113761798653464
light_V0399_V_8s_2026_05_20-0038_flat_0p3_late_bias_cal.fits,2461181.69614699,10.202999711036682,147.11804947259728,2148.6194793665386,239068.60704612732,1625.0120763778689,11,25,True,ok,V0399 named,34.5061656832695,1.0096637703387992
light_V0399_V_8s_2026_05_20-0039_flat_0p3_late_bias_cal.fits,2461181.696338542,10.47883339226246,146.74855327740264,2176.193154121337,238322.09629440308,1624.0166664123535,11,27,True,ok,V0399 named,34.78200003504753,1.0071279365447579
light_V0399_V_8s_2026_05_20-0040_flat_0p3_late_bias_cal.fits,2461181.6965310187,10.756000131368635,146.04421160991146,2111.8087607234447,267027.10497283936,1828.3990993499756,11,28,True,ok,V0399 named,35.05916677415371,1.0022940751242506
light_V0399_V_8s_2026_05_20-0041_flat_0p3_late_bias_cal.fits,2461181.696722801,11.03216640651226,147.29793176355352,2119.357158698365,253016.7399291992,1717.7209272384644,11,28,True,ok,V0399 named,35.33533304929733,1.0108982934496966
light_V0399_V_8s_2026_05_20-0042_flat_0p3_late_bias_cal.fits,2461181.696914352,11.308000087738035,146.80647340973096,2106.8613962136483,222051.34427261353,1512.544638633728,11,27,True,ok,V0399 named,35.61116673052311,1.0075254394983029
light_V0399_V_8s_2026_05_20-0043_flat_0p3_late_bias_cal.fits,2461181.697106134,11.58416636288166,143.7071957784781,2104.6898589550283,244107.74700927737,1698.6466522216797,11,28,True,ok,V0399 named,35.88733300566673,0.9862552530751182
light_V0399_V_8s_2026_05_20-0044_flat_0p3_late_bias_cal.fits,2461181.6972972224,11.859333515167236,145.7219533448248,2075.371948164658,238742.98565673828,1638.3460431098938,11,28,True,ok,V0399 named,36.16250015795231,1.00008243286746
light_V0399_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.6974885417,12.13483326137066,148.0319630980983,2148.263030410728,230200.0648803711,1555.0700001716614,11,27,True,ok,V0399 named,36.43799990415573,1.0159359135611659
light_V0399_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.697679977,12.410499975085258,147.85871534018884,2121.5737237070125,234916.31085586548,1588.7890701293943,11,27,True,ok,V0399 named,36.71366661787033,1.0147469229167094
light_V0399_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6978716436,12.686499953269958,143.5097941476736,2133.5985077999912,226104.6503982544,1575.5346298217771,11,27,True,ok,V0399 named,36.98966659605503,0.9849004956164406
light_V0399_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6980633102,12.96249993145466,142.67582378365438,2065.9267230277287,234272.60078811648,1641.9922771453855,11,29,True,ok,V0399 named,37.26566657423973,0.9791769989747636
light_V0399_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.698254977,13.23849990963936,145.96857373573027,2051.3169837316223,235494.7014465332,1613.3246726989746,11,29,True,ok,V0399 named,37.54166655242443,1.0017749761999517
light_V0399_V_8s_2026_05_20-0050_flat_0p3_late_bias_cal.fits,2461181.698446412,13.514166623353958,145.7033259624976,2100.375107267773,204334.7206993103,1402.4025831222534,11,25,True,ok,V0399 named,37.81733326613903,0.9999545940799048
light_V0399_V_8s_2026_05_20-0051_flat_0p3_late_bias_cal.fits,2461181.698638773,13.79116639494896,149.6556610985967,2275.2179838310203,236134.6334991455,1577.8529977798462,11,29,True,ok,V0399 named,38.09433303773403,1.0270792712317702
light_V0399_V_8s_2026_05_20-0052_flat_0p3_late_bias_cal.fits,2461181.6988304397,14.06716637313366,141.54566536554807,1962.3376133075735,228602.5525817871,1615.044529914856,11,28,True,ok,V0399 named,38.37033301591873,0.9714207786224955
light_V0399_V_8s_2026_05_20-0053_flat_0p3_late_bias_cal.fits,2461181.6990222223,14.343333318829536,142.61807675775967,2031.8544181608615,229403.2650527954,1608.5146446228027,11,27,True,ok,V0399 named,38.64649996161461,0.9787806840419615
light_V0399_V_8s_2026_05_20-0054_flat_0p3_late_bias_cal.fits,2461181.699213773,14.61916632950306,148.39217223259158,2104.3339623246757,239345.4339542389,1612.9249296188354,11,29,True,ok,V0399 named,38.92233297228813,1.0184080107249522
light_V0399_V_8s_2026_05_20-0055_flat_0p3_late_bias_cal.fits,2461181.699405208,14.89483304321766,141.9895555601745,2032.1744420735904,242748.7881679535,1709.624255180359,11,30,True,ok,V0399 named,39.19799968600273,0.9744671746910243
light_V0399_V_8s_2026_05_20-0056_flat_0p3_late_bias_cal.fits,2461181.699596991,15.170999988913536,146.54085397893067,2125.530946929224,245069.3776512146,1672.3621501922607,11,30,True,ok,V0399 named,39.47416663169861,1.0057025067110719
light_V0399_V_8s_2026_05_20-0057_flat_0p3_late_bias_cal.fits,2461181.699788773,15.44716626405716,146.3302771186052,2094.191432448434,252993.58805847168,1728.9216766357422,11,31,True,ok,V0399 named,39.75033290684223,1.0042573283151885
light_V0399_V_8s_2026_05_20-0058_flat_0p3_late_bias_cal.fits,2461181.6999804396,15.72316624224186,150.01484729821902,2153.814381457875,222733.0709533691,1484.740177154541,11,27,True,ok,V0399 named,40.02633288502693,1.0295443480450124
light_V0399_V_8s_2026_05_20-0059_flat_0p3_late_bias_cal.fits,2461181.7001721063,15.99916622042656,144.92328056911296,2055.3878085607976,240993.7637939453,1662.9057998657229,11,29,True,ok,V0399 named,40.30233286321163,0.9946011817981112
light_V0399_V_8s_2026_05_20-0060_flat_0p3_late_bias_cal.fits,2461181.7003641203,16.275666430592537,149.10085878921305,2159.6266357436466,216444.2181892395,1451.663122177124,11,30,True,ok,V0399 named,40.57883307337761,1.0232716909009194
light_V0399_V_8s_2026_05_20-0061_flat_0p3_late_bias_cal.fits,2461181.70055544,16.551166847348213,141.38404979267193,2011.0671161988932,244067.7834014893,1726.2752323150637,11,29,True,ok,V0399 named,40.854333490133286,0.9703116190785744
light_V0399_V_8s_2026_05_20-0062_flat_0p3_late_bias_cal.fits,2461181.700747222,16.827333122491837,144.4905587297984,2134.257616850422,233304.4708480835,1614.6693105697632,11,30,True,ok,V0399 named,41.13049976527691,0.9916314335900801
light_V0399_V_8s_2026_05_20-0063_flat_0p3_late_bias_cal.fits,2461181.70093831,17.10249960422516,144.05767163587993,2080.9837073329973,232477.3215637207,1613.7795295715332,11,32,True,ok,V0399 named,41.40566624701023,0.9886605512480181
light_V0399_V_8s_2026_05_20-0064_flat_0p3_late_bias_cal.fits,2461181.701130209,17.378833517432213,141.46036009036806,1969.9124895664072,236397.12132263184,1671.11918258667,11,31,True,ok,V0399 named,41.68200083076954,0.970835332811619
light_V0399_V_8s_2026_05_20-0065_flat_0p3_late_bias_cal.fits,2461181.7013217593,17.654666528105736,143.80027074684625,2114.9079029927543,233315.5585899353,1622.4973526000977,11,33,True,ok,V0399 named,41.95783317089081,0.9868940218993626
light_V0399_V_8s_2026_05_20-0066_flat_0p3_late_bias_cal.fits,2461181.701513542,17.930833473801613,146.4425552367012,2168.029479972822,238203.39588165283,1626.5995597839355,11,32,True,ok,V0399 named,42.234000116586685,1.005027887389685
light_V0399_V_8s_2026_05_20-0067_flat_0p3_late_bias_cal.fits,2461181.70170544,18.207166716456413,145.66800829764637,2101.1409134691708,260994.58959960935,1791.708369255066,11,30,True,ok,V0399 named,42.510333359241486,0.9997122107232665
light_V0399_V_8s_2026_05_20-0068_flat_0p3_late_bias_cal.fits,2461181.7018971066,18.483166694641113,142.07813789274255,2053.5485435688156,239436.9409713745,1685.2483043670654,11,32,True,ok,V0399 named,42.786333337426186,0.9750751107818485
light_V0399_V_8s_2026_05_20-0069_flat_0p3_late_bias_cal.fits,2461181.7020890047,18.759499937295914,144.7128682833522,2078.744736347634,205170.08976745603,1417.7736382484436,11,27,True,ok,V0399 named,43.062666580080986,0.9931571328691837
light_V0399_V_8s_2026_05_20-0070_flat_0p3_late_bias_cal.fits,2461181.702280787,19.035666212439537,151.97293011314375,2146.9192865825503,207100.23192977905,1362.744218826294,11,28,True,ok,V0399 named,43.33883285522461,1.0429825718703
