sequence,file,jd,diff_flux,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason,check_diff_flux,minutes_combined,diff_flux_norm,check_diff_flux_norm
V_8 generic,light_V_8s_2026_05_20-0082_flat_0p3_late_bias_cal.fits,2461181.687706597,119.63393511450916,205812.27138137817,1720.3502600193024,4,True,ok,174.14678141763872,22.35199972987175,1.0043711864594351,1.0027442380522502
V_8 generic,light_V_8s_2026_05_20-0083_flat_0p3_late_bias_cal.fits,2461181.6878975695,118.9623193408778,245616.07037353516,2064.6543521881104,4,True,ok,,22.62699991464615,0.9987327233363978,
V0399 named,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,127.1986663841372,213236.88902664185,1676.4082131385803,4,True,ok,188.24611902612307,24.303166642785072,0.9750842851833061,0.9956242784522665
V0399 named,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,128.72587927026345,212825.65330696103,1653.3245258331299,4,True,ok,187.35188422420416,24.578333124518394,0.9867916507377053,0.990894715452331
V0399 named,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,132.88574396854509,207401.8688964844,1560.7533411979675,4,True,ok,192.26715593096299,24.853499606251717,1.0186804968324712,1.0168913408901148
V0399 named,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,132.98835514527357,213428.76544189453,1604.8680744171143,4,True,ok,193.58031784229243,25.128833055496216,1.0194670974215838,1.023836588352438
V0399 named,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,130.55210727969802,194213.26579284668,1487.6302638053894,4,True,ok,190.39495589272775,25.403999537229538,1.0007912175868063,1.0069893688238138
V0399 named,light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,127.99453983696856,216074.8966140747,1688.1571424007416,4,True,ok,188.0693935447545,25.679166689515114,0.9811853216085372,0.9946895862483476
V0399 named,light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,131.36529811109293,215558.9920463562,1640.9127459526062,4,True,ok,192.04332230785067,25.95416620373726,1.0070250062190997,1.0157074960881212
V0399 named,light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,130.2287813990315,222153.91143798828,1705.8741474151611,4,True,ok,186.74932494695466,26.231166645884514,0.9983126539808103,0.9877078096678191
V0399 named,light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,126.16747587241981,197853.26067352295,1568.1795907020569,4,True,ok,190.2314887535275,26.506500095129013,0.9671793464635151,1.0061247993263978
V0399 named,light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,130.11776960307492,226050.49810028076,1737.2761521339417,4,True,ok,183.21847506916728,26.782166808843613,0.9974616556112177,0.9690333218213659
V0399 named,light_V0399_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.690974884,128.5694967439517,191763.0636291504,1491.5129053592682,4,True,ok,190.59748356634236,27.058333083987236,0.9855928477296348,1.0080605275279206
V0399 named,light_V0399_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.691166551,130.89213359097727,219161.3501586914,1674.3660917282104,4,True,ok,182.49982750385433,27.334333062171936,1.0033978039772324,0.9652324309059102
