raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V0399_V_8s_2026_05_20-0018.fit,light_V0399_V_8s_2026_05_20-0018_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6923153936,55851.0,55127.98487338106
light_V0399_V_8s_2026_05_20-0019.fit,light_V0399_V_8s_2026_05_20-0019_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6925069443,53423.0,52709.680165571175
light_V0399_V_8s_2026_05_20-0020.fit,light_V0399_V_8s_2026_05_20-0020_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.692698148,56793.0,56053.56474066614
light_V0399_V_8s_2026_05_20-0021.fit,light_V0399_V_8s_2026_05_20-0021_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6928898147,55739.0,55126.95890419433
light_V0399_V_8s_2026_05_20-0022.fit,light_V0399_V_8s_2026_05_20-0022_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6930810185,53270.0,52527.16524496395
light_V0399_V_8s_2026_05_20-0023.fit,light_V0399_V_8s_2026_05_20-0023_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.693271991,50970.0,50316.870092684054
light_V0399_V_8s_2026_05_20-0024.fit,light_V0399_V_8s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6934636575,46849.0,46060.83185697911
light_V0399_V_8s_2026_05_20-0025.fit,light_V0399_V_8s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6936555556,54509.0,53788.322841384106
light_V0399_V_8s_2026_05_20-0026.fit,light_V0399_V_8s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6938471063,49513.0,48779.48305757423
light_V0399_V_8s_2026_05_20-0027.fit,light_V0399_V_8s_2026_05_20-0027_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6940381946,55010.0,53949.42780229779
light_V0399_V_8s_2026_05_20-0028.fit,light_V0399_V_8s_2026_05_20-0028_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6942291665,52059.0,51028.72183732722
light_V0399_V_8s_2026_05_20-0029.fit,light_V0399_V_8s_2026_05_20-0029_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.694420139,55678.0,54966.59028879103
light_V0399_V_8s_2026_05_20-0030.fit,light_V0399_V_8s_2026_05_20-0030_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6946113426,64089.0,63282.3794381959
light_V0399_V_8s_2026_05_20-0031.fit,light_V0399_V_8s_2026_05_20-0031_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6948032407,62526.0,61857.09371953062
light_V0399_V_8s_2026_05_20-0032.fit,light_V0399_V_8s_2026_05_20-0032_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6949944445,55839.0,55212.41293077455
light_V0399_V_8s_2026_05_20-0033.fit,light_V0399_V_8s_2026_05_20-0033_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.695186111,51440.0,50823.23762929853
light_V0399_V_8s_2026_05_20-0034.fit,light_V0399_V_8s_2026_05_20-0034_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.695378125,65411.0,64582.69931399523
light_V0399_V_8s_2026_05_20-0035.fit,light_V0399_V_8s_2026_05_20-0035_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.695569792,60463.0,59593.93563599868
light_V0399_V_8s_2026_05_20-0036.fit,light_V0399_V_8s_2026_05_20-0036_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.695762153,65156.0,64258.20641099812
light_V0399_V_8s_2026_05_20-0037.fit,light_V0399_V_8s_2026_05_20-0037_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6959542823,40904.0,40159.6960137593
light_V0399_V_8s_2026_05_20-0038.fit,light_V0399_V_8s_2026_05_20-0038_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6961469906,54542.0,53918.30964229663
light_V0399_V_8s_2026_05_20-0039.fit,light_V0399_V_8s_2026_05_20-0039_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.696338542,60818.0,60180.292863952345
light_V0399_V_8s_2026_05_20-0040.fit,light_V0399_V_8s_2026_05_20-0040_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6965310187,65535.0,64634.886279680155
light_V0399_V_8s_2026_05_20-0041.fit,light_V0399_V_8s_2026_05_20-0041_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.696722801,65241.0,64603.964960316494
light_V0399_V_8s_2026_05_20-0042.fit,light_V0399_V_8s_2026_05_20-0042_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.696914352,54590.0,53777.45585916522
light_V0399_V_8s_2026_05_20-0043.fit,light_V0399_V_8s_2026_05_20-0043_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.697106134,62282.0,61490.5214378711
light_V0399_V_8s_2026_05_20-0044.fit,light_V0399_V_8s_2026_05_20-0044_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6972972224,58538.0,57702.861145684794
light_V0399_V_8s_2026_05_20-0045.fit,light_V0399_V_8s_2026_05_20-0045_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6974885417,54412.0,53814.774781910804
light_V0399_V_8s_2026_05_20-0046.fit,light_V0399_V_8s_2026_05_20-0046_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.697679977,60296.0,59391.75943769774
light_V0399_V_8s_2026_05_20-0047.fit,light_V0399_V_8s_2026_05_20-0047_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6978716436,56611.0,55948.869417734415
light_V0399_V_8s_2026_05_20-0048.fit,light_V0399_V_8s_2026_05_20-0048_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6980633102,55876.0,55108.914326431055
light_V0399_V_8s_2026_05_20-0049.fit,light_V0399_V_8s_2026_05_20-0049_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.698254977,56733.0,55961.811707471825
light_V0399_V_8s_2026_05_20-0050.fit,light_V0399_V_8s_2026_05_20-0050_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.698446412,46107.0,45480.64334468738
light_V0399_V_8s_2026_05_20-0051.fit,light_V0399_V_8s_2026_05_20-0051_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.698638773,57895.0,57198.76467388864
light_V0399_V_8s_2026_05_20-0052.fit,light_V0399_V_8s_2026_05_20-0052_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6988304397,56047.0,55321.385154096875
light_V0399_V_8s_2026_05_20-0053.fit,light_V0399_V_8s_2026_05_20-0053_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6990222223,57121.0,56300.757305385116
light_V0399_V_8s_2026_05_20-0054.fit,light_V0399_V_8s_2026_05_20-0054_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.699213773,60518.0,59664.302036699824
light_V0399_V_8s_2026_05_20-0055.fit,light_V0399_V_8s_2026_05_20-0055_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.699405208,60913.0,60217.27275147063
light_V0399_V_8s_2026_05_20-0056.fit,light_V0399_V_8s_2026_05_20-0056_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.699596991,63126.0,62428.62053445109
light_V0399_V_8s_2026_05_20-0057.fit,light_V0399_V_8s_2026_05_20-0057_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.699788773,65024.0,64142.146804366595
light_V0399_V_8s_2026_05_20-0058.fit,light_V0399_V_8s_2026_05_20-0058_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6999804396,54163.0,53360.25516226811
light_V0399_V_8s_2026_05_20-0059.fit,light_V0399_V_8s_2026_05_20-0059_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.7001721063,60586.0,59876.345228823084
light_V0399_V_8s_2026_05_20-0060.fit,light_V0399_V_8s_2026_05_20-0060_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.7003641203,49151.0,48380.14063031265
light_V0399_V_8s_2026_05_20-0061.fit,light_V0399_V_8s_2026_05_20-0061_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.70055544,60376.0,59543.334976950944
light_V0399_V_8s_2026_05_20-0062.fit,light_V0399_V_8s_2026_05_20-0062_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.700747222,55324.0,54519.151650517386
light_V0399_V_8s_2026_05_20-0063.fit,light_V0399_V_8s_2026_05_20-0063_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.70093831,55900.0,55091.98015329366
light_V0399_V_8s_2026_05_20-0064.fit,light_V0399_V_8s_2026_05_20-0064_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.7011302086,55338.0,54688.24949073357
light_V0399_V_8s_2026_05_20-0065.fit,light_V0399_V_8s_2026_05_20-0065_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.7013217593,62000.0,61248.08241973577
light_V0399_V_8s_2026_05_20-0066.fit,light_V0399_V_8s_2026_05_20-0066_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.701513542,57731.0,56947.87926099327
light_V0399_V_8s_2026_05_20-0067.fit,light_V0399_V_8s_2026_05_20-0067_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.70170544,65535.0,64713.544391482916
light_V0399_V_8s_2026_05_20-0068.fit,light_V0399_V_8s_2026_05_20-0068_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.7018971066,63764.0,62967.84856489746
light_V0399_V_8s_2026_05_20-0069.fit,light_V0399_V_8s_2026_05_20-0069_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.7020890047,50585.0,49850.12740153266
light_V0399_V_8s_2026_05_20-0070.fit,light_V0399_V_8s_2026_05_20-0070_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.702280787,47722.0,46943.12171997011
