precession_period_hr,superhump_period_min,superhump_period_s,orbital_period_s,N,k,dof,chi2,reduced_chi2,aic_chi2,bic_chi2,sse,bic_sse,rms_pct,fundamental_amp_pct,harmonic_amp_pct,fundamental_phase_cycles,harmonic_phase_cycles,delta_chi2
19.028342780926977,17.40694621950875,1044.416773170525,1028.7322,138,5,133,340.44576974255097,2.55974262964324,350.44576974255097,365.08203816833696,0.028735704619614562,-1145.171591636809,1.443016783063854,0.734218919842133,0.892284446418957,0.7729257835673984,0.7322251949103398,3.9821301023984574
19.036345448482827,17.406834651065445,1044.4100790639268,1028.7322,138,5,133,340.4506525153317,2.559779342220539,350.4506525153317,365.0869209411177,0.028736176294581323,-1145.1693264892488,1.4430286260325438,0.7342000960140836,0.8922677623761768,0.7728990012275144,0.7321886524867598,3.9870128751791754
19.04434811603868,17.40672317781535,1044.403390668921,1028.7322,138,5,133,340.4555339721916,2.559816044903696,350.4555339721916,365.0918023979776,0.028736647792245815,-1145.1670622303147,1.4430404644523307,0.7341812908127362,0.8922510730833474,0.772872241052241,0.7321521408527468,3.9918943320390667
19.052350783594534,17.406611799636686,1044.3967079782012,1028.7322,138,5,133,340.46041411079693,2.5598527376751647,350.46041411079693,365.09668253658293,0.028737119112510125,-1145.1647988604338,1.443052298320868,0.734162504211683,0.8922343785730095,0.772845503014082,0.7321156599697448,3.996774470644425
19.060353451150384,17.406500516407878,1044.3900309844726,1028.7322,138,5,133,340.4652929288244,2.5598894205174765,350.4652929288244,365.1015613546104,0.028737590255277022,-1145.16253638003,1.4430641276358267,0.7341437361845933,0.8922176788776008,0.7728187870855827,0.7320792097992614,4.001653288671889
19.068356118706234,17.40638932800756,1044.3833596804536,1028.7322,138,5,133,340.47017042395964,2.5599260934132304,350.47017042395964,365.10643884974564,0.0287380612204498,-1145.160274789524,1.4430759523948904,0.7341249867051383,0.8922009740294728,0.7727920932393493,0.7320427903028714,4.006530783807136
19.076358786262087,17.40627823431458,1044.3766940588748,1028.7322,138,5,133,340.475046593903,2.5599627563451355,350.475046593903,365.111315019689,0.028738532007932933,-1145.1580140893323,1.4430877725957731,0.7341062557470805,0.8921842640608486,0.7727654214480133,0.7320064014422147,4.011406953750509
19.08436145381794,17.406167235207977,1044.3700341124786,1028.7322,138,5,133,340.4799214363636,2.559999409295967,350.4799214363636,365.1161898621496,0.028739002617631272,-1145.1557542798676,1.4430995882361977,0.7340875432841993,0.8921675490038934,0.7727387716842684,0.7319700431789865,4.0162817962111035
19.09236412137379,17.406056330567015,1044.3633798340209,1028.7322,138,5,133,340.4847949490636,2.5600360522485985,350.4847949490636,365.1210633748496,0.028739473049450764,-1145.153495361539,1.4431113993139149,0.7340688492903434,0.8921508288906443,0.7727121439208425,0.7319337154749538,4.021155308911091
19.100366788929644,17.405945520271143,1044.3567312162686,1028.7322,138,5,133,340.48966712973305,2.560072685185963,350.48966712973305,365.12593555551905,0.028739943303297783,-1145.1512373347528,1.443123205826686,0.7340501737393815,0.8921341037530426,0.7726855381305135,0.7318974182919415,4.026027489580542
