file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V_8s_2026_05_20-0075_flat_0p3_late_bias_cal.fits,2461181.686365625,8.0,45731.19253802942,117.6870380826458,226286.44305419922,4.948185920715332,8,True,True,ok
light_V_8s_2026_05_20-0076_flat_0p3_late_bias_cal.fits,2461181.686557176,8.0,27.846951079580883,0.10890513905392217,180922.75484848022,6497.039993047714,6,True,True,ok
light_V_8s_2026_05_20-0077_flat_0p3_late_bias_cal.fits,2461181.6867488427,8.0,78052.16298759832,178.84433232953236,228740.64950561523,2.930612564086914,7,True,True,ok
light_V_8s_2026_05_20-0078_flat_0p3_late_bias_cal.fits,2461181.6869399305,8.0,36790.81788931257,74.45224874579894,246467.4213256836,6.699155807495117,8,True,True,ok
light_V_8s_2026_05_20-0079_flat_0p3_late_bias_cal.fits,2461181.6871314817,8.0,29.73941588022956,0.08179842924203154,216928.78143310547,7294.318836212158,6,True,True,ok
light_V_8s_2026_05_20-0080_flat_0p3_late_bias_cal.fits,2461181.687323264,8.0,28.586285417612103,0.06493056619719488,233840.31356048584,8180.157377719879,6,True,True,ok
light_V_8s_2026_05_20-0081_flat_0p3_late_bias_cal.fits,2461181.6875149305,8.0,35429.24858393096,98.23130011903689,214302.12406158447,6.048734664916992,7,True,True,ok
light_V_8s_2026_05_20-0082_flat_0p3_late_bias_cal.fits,2461181.687706597,8.0,38516.249156502585,117.81964567171124,205812.27138137817,5.343518018722534,8,True,True,ok
light_V_8s_2026_05_20-0083_flat_0p3_late_bias_cal.fits,2461181.6878975695,8.0,28.975057978395,0.059140486088340036,245616.07037353516,8476.810315847397,6,True,True,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,8.0,1160.2073391514618,3.155285850974726,213236.88902664185,183.79205322265625,11,True,True,ok
light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,8.0,1355.3005067221306,4.035578063532861,212825.65330696106,157.03207683563232,11,True,True,ok
light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,8.0,919.0640712640198,2.8389201836920193,207401.86889648438,225.6663875579834,11,True,True,ok
light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,8.0,1166.568928330509,3.2355036039961016,213428.76544189453,182.95426893234253,11,True,True,ok
light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,8.0,494.12594077796075,1.7754663028187931,194213.26579284668,393.04405975341797,11,True,True,ok
light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,8.0,513.100522805275,1.3981438107735111,216074.8966140747,421.1161108016968,11,True,True,ok
