file,raw_file,jd,exptime,object_id,role,v_mag,x,y,registered,dx,dy,shift_scatter,n_anchor_centroids,flux,flux_err,flux_rate,flux_rate_err,raw_peak,saturated,frame_artifact,flag
light_AMCVn_V_35s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0024.fit,2461181.794956597,35.0,144,comparison,14.357,295.77092501716504,1380.688121453914,True,11.180313855318104,17.618449261907926,1.540265146145261,6,14688.310356140137,146.38889618819604,419.66601017543246,4.182539891091316,1127.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0025.fit,2461181.7954596067,35.0,target,target,,514.2283502138001,1301.6960977461072,True,11.33487076379788,17.772486982302212,1.4997604713564532,6,17181.67182159424,154.5093972720242,490.9049091884068,4.414554207772119,1200.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0025.fit,2461181.7954596067,35.0,90,comparison,8.97,742.8534005603487,217.38480551176588,True,11.33487076379788,17.772486982302212,1.4997604713564532,6,2000089.750366211,1451.654443242229,57145.421439034595,41.47584123549226,56107.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0025.fit,2461181.7954596067,35.0,96,comparison,9.551,1819.7155547856642,1087.8035855898124,True,11.33487076379788,17.772486982302212,1.4997604713564532,6,1186527.214416504,1112.238607186234,33900.77755475725,31.778245919606686,33355.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0025.fit,2461181.7954596067,35.0,112,comparison,11.235,1284.8183108183182,1339.0841355324646,True,11.33487076379788,17.772486982302212,1.4997604713564532,6,272272.2289199829,531.4839821455106,7779.20654057094,15.185256632728874,8018.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0025.fit,2461181.7954596067,35.0,125,comparison,12.454,401.16126795509587,1193.0955832132495,True,11.33487076379788,17.772486982302212,1.4997604713564532,6,86934.60932922363,305.9780174096142,2483.8459808349608,8.74222906884612,3019.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0025.fit,2461181.7954596067,35.0,143,comparison,14.29,838.3266504509136,1402.4516538756138,True,11.33487076379788,17.772486982302212,1.4997604713564532,6,15478.897621154785,149.24538943492297,442.2542177472796,4.264153983854942,1176.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0025.fit,2461181.7954596067,35.0,144,comparison,14.357,295.94242308773664,1380.763566181448,True,11.33487076379788,17.772486982302212,1.4997604713564532,6,14649.10041809082,148.7026176343081,418.54572623116627,4.248646218123088,1094.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0026.fit,2461181.795962963,35.0,target,target,,514.2809267276634,1302.0133859668504,True,11.387447277661181,18.08977520304518,1.5513965724871621,6,16746.590255737305,155.34171866802032,478.47400730678015,4.438334819086295,1185.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0026.fit,2461181.795962963,35.0,90,comparison,8.97,742.8376472564635,217.5536952213814,True,11.387447277661181,18.08977520304518,1.5513965724871621,6,1956594.8613586426,1446.8982297306886,55902.71032453264,41.33994942087682,50321.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0026.fit,2461181.795962963,35.0,96,comparison,9.551,1819.7888792162512,1088.1337862686403,True,11.387447277661181,18.08977520304518,1.5513965724871621,6,1159541.0223693848,1105.5279993801773,33129.74349626814,31.586514268005068,30810.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0026.fit,2461181.795962963,35.0,112,comparison,11.235,1284.9070805074987,1339.3973828011879,True,11.387447277661181,18.08977520304518,1.5513965724871621,6,264400.6665649414,524.4678541027101,7554.304758998326,14.984795831506004,7863.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0026.fit,2461181.795962963,35.0,125,comparison,12.454,401.2182040358941,1193.2945176568555,True,11.387447277661181,18.08977520304518,1.5513965724871621,6,84991.01852416992,304.5937982465746,2428.3148149762833,8.70267994990213,2899.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0026.fit,2461181.795962963,35.0,143,comparison,14.29,838.3584790480531,1402.8872958734937,True,11.387447277661181,18.08977520304518,1.5513965724871621,6,14977.687408447266,150.61021303488943,427.93392595563614,4.303148943853984,1122.0,False,False,ok
