file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V0399_V_8s_2026_05_20-0039_flat_0p3_early_bias_cal.fits,2461181.696338542,8.0,147.6908418566093,1.273076088660313,170879.9844970703,1157.011378288269,8,True,True,ok
light_V0399_V_8s_2026_05_20-0040_flat_0p3_early_bias_cal.fits,2461181.6965310187,8.0,143.58849042070273,1.709482847005036,155912.1069869995,1085.8259358406067,8,True,True,ok
light_V0399_V_8s_2026_05_20-0041_flat_0p3_early_bias_cal.fits,2461181.696722801,8.0,140.03650912141154,2.0779398444804387,130749.07119560242,933.6784529685974,8,True,True,ok
light_V0399_V_8s_2026_05_20-0042_flat_0p3_early_bias_cal.fits,2461181.696914352,8.0,139.74549441271148,4.980868486950151,87372.79457092285,625.2279899120331,8,True,True,ok
light_V0399_V_8s_2026_05_20-0043_flat_0p3_early_bias_cal.fits,2461181.697106134,8.0,130.0902177627869,4.938072919366432,89893.77620124817,691.0110363960266,8,True,True,ok
light_V0399_V_8s_2026_05_20-0044_flat_0p3_early_bias_cal.fits,2461181.6972972224,8.0,138.55779820186015,9.055202441136055,65654.25513458252,473.84020233154297,8,True,True,ok
light_V0399_V_8s_2026_05_20-0045_flat_0p3_early_bias_cal.fits,2461181.6974885417,8.0,135.6446650109946,11.10181467911274,58455.46159362793,430.94552659988403,8,True,True,ok
light_V0399_V_8s_2026_05_20-0046_flat_0p3_early_bias_cal.fits,2461181.697679977,8.0,134.80838972561523,18.067951103341873,41167.06945800781,305.37468433380127,8,True,True,ok
light_V0399_V_8s_2026_05_20-0047_flat_0p3_early_bias_cal.fits,2461181.6978716436,8.0,198.26800507076962,125.20745620956704,13055.716960906982,65.84883403778076,8,True,True,ok
light_V0399_V_8s_2026_05_20-0048_flat_0p3_early_bias_cal.fits,2461181.6980633102,8.0,177.26270657558817,93.02067317632415,15702.433841705322,88.58283925056458,8,True,True,ok
light_V0399_V_8s_2026_05_20-0049_flat_0p3_early_bias_cal.fits,2461181.698254977,8.0,153.0921809092451,63.757235520833,18727.299753189087,122.32695126533508,8,True,True,ok
light_V0399_V_8s_2026_05_20-0050_flat_0p3_early_bias_cal.fits,2461181.698446412,8.0,168.85088756671382,69.04519368989442,17609.325242996216,104.2892074584961,8,True,True,ok
light_V0399_V_8s_2026_05_20-0051_flat_0p3_early_bias_cal.fits,2461181.698638773,8.0,199.06367410162161,150.20132573331028,11334.152206420898,56.93732047080994,8,True,True,ok
light_V0399_V_8s_2026_05_20-0052_flat_0p3_early_bias_cal.fits,2461181.6988304397,8.0,216.76732297949275,292.0508757205278,6390.923652648926,29.482873916625977,8,True,True,ok
