flat,sequence,file,jd,minutes,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,n_sources,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0066_flat_6s_masked_cal.fits,2461181.684639352,17.935166582465172,184067.74797821045,267035.15713500977,1153.9226160049438,159.51481098055004,231.41513428303037,8,23,True,ok,17.935166582465172,1.0098021526163015,1.0066594159876185
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0067_flat_6s_masked_cal.fits,2461181.6848310186,18.211166560649872,227045.92550468445,330497.1672973633,1453.1695699691772,156.24186619150046,227.43193507993246,8,28,True,ok,18.211166560649872,0.989082906089535,0.9893324378019619
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0068_flat_6s_masked_cal.fits,2461181.6850228007,18.487332835793495,226249.43350028992,332145.7372817993,1449.3597602844238,156.1030185189428,229.16721326430277,8,27,True,ok,18.487332835793495,0.988203936432908,0.9968809247627058
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0069_flat_6s_masked_cal.fits,2461181.685213773,18.762333020567894,224564.4914932251,316064.3550758362,1440.0028324127197,155.94725679599398,219.48870374530546,8,26,True,ok,18.762333020567894,0.9872178930544776,0.954779258550554
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0070_flat_6s_masked_cal.fits,2461181.685405671,19.038666263222694,205129.1296081543,298037.3878059387,1298.2779831886292,158.0009306669038,229.5636155470691,8,26,True,ok,19.038666263222694,1.000218593634372,0.9986052808282763
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0071_flat_6s_masked_cal.fits,2461181.6855980325,19.31566670536995,234202.4400253296,344204.7233886719,1507.601752281189,155.34768361137293,228.31276420835098,8,28,True,ok,19.31566670536995,0.9834223189083554,0.9931640581441051
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0072_flat_6s_masked_cal.fits,2461181.6857905095,19.592833444476128,221584.76892852783,315514.3304748535,1404.535041809082,157.76378825203264,224.6397000308813,8,24,True,ok,19.592833444476128,0.99871737302958,0.9771861721202185
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0073_flat_6s_masked_cal.fits,2461181.68598206,19.86866645514965,194858.05194854736,280697.701171875,1227.315050125122,158.76775236210295,228.70875831210452,8,24,True,ok,19.86866645514965,1.0050729278101458,0.994886638624652
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0074_flat_6s_masked_cal.fits,2461181.686173727,20.14466643333435,233071.4888305664,324643.81200790405,1438.087839126587,162.07041217462825,,8,28,True,ok,20.14466643333435,1.025980284108578,
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0075_flat_6s_masked_cal.fits,2461181.686365625,20.42099967598915,226365.14581298828,315386.21395874023,1404.4903593063354,161.17244544475756,224.55562750498802,8,28,True,ok,20.42099967598915,1.0202957415182863,0.9768204553313036
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0076_flat_6s_masked_cal.fits,2461181.686557176,20.696833357214928,181019.0259284973,270579.13818359375,1177.0459926128387,153.79095384936178,229.87983467235193,8,26,True,ok,20.696833357214928,0.9735675032015406,0.9999808389177138
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0077_flat_6s_masked_cal.fits,2461181.6867488427,20.972833335399628,228873.98711776733,329987.3804550171,1433.7699584960938,159.63089877949267,230.15364389497086,8,28,True,ok,20.972833335399628,1.010537041800222,1.0011719132741408
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0078_flat_6s_masked_cal.fits,2461181.6869399305,21.24799981713295,246474.40936279297,354556.311630249,1518.8146739006042,162.28076644124062,,8,28,True,ok,21.24799981713295,1.0273119234085992,
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0079_flat_6s_masked_cal.fits,2461181.6871314817,21.523833498358727,216896.03033447266,309756.5725708008,1359.2619831562042,159.56896685276257,227.88585012253967,8,27,True,ok,21.523833498358727,1.0101449842066776,0.9913069752630258
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0080_flat_6s_masked_cal.fits,2461181.687323264,21.79999977350235,233803.9204711914,329301.8458251953,1465.8378052711487,159.50190371024212,224.6509433997587,8,31,True,ok,21.79999977350235,1.0097204436561038,0.9772350809488607
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0081_flat_6s_masked_cal.fits,2461181.6875149305,22.07599975168705,214286.04460144043,310914.1123046875,1337.7898588180542,160.17915159766835,232.40878248201258,8,27,True,ok,22.07599975168705,1.0140077344122032,1.010981801032934
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0082_flat_6s_masked_cal.fits,2461181.687706597,22.35199972987175,205746.89093399048,299665.80459594727,1289.8764519691467,159.50899066332585,232.32132359535092,8,27,True,ok,22.35199972987175,1.0097653073301127,1.010601353522262
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0083_flat_6s_masked_cal.fits,2461181.6878975695,22.62699991464615,245579.36950683594,343747.39976882935,1558.7149724960327,157.5524543230504,,8,30,True,ok,22.62699991464615,0.9973795320159755,
